count;workers;time(ms)
10000000000;1;2928
10000000000;1;2918
10000000000;1;2936
10000000000;10;1573
10000000000;10;1550
10000000000;10;1585
10000000000;100;1544
10000000000;100;1543
10000000000;100;1542
10000000000;1000;1555
10000000000;1000;1547
10000000000;1000;1569
10000000000;10000;1555
10000000000;10000;1565
10000000000;10000;1556
10000000000;100000;1580
10000000000;100000;1618
10000000000;100000;1586
10000000000;1000000;1726
10000000000;1000000;1756
10000000000;1000000;1734
10000000000;10000000;3491
10000000000;10000000;3414
10000000000;10000000;3576
10000000000;100000000;20856
10000000000;100000000;22399
10000000000;100000000;22134



